x,y
-5.07447,6.58737
-2.59311,4.10607
-0.11174999999999996,1.62471
2.4252000000000002,-0.8292149999999999
3.5467500000000003,1.3603049999999999
1.066176,3.8749500000000006
1.066176,5.54514
2.73558,6.180000000000001
5.295,5.70963
6.947939999999999,3.5100000000000002
7.05,0.7247399999999999
6.282839999999999,-2.052
4.0131,-3.60408
1.50156,-3.36789
-0.5577810000000001,-1.57797
-3.1175100000000002,0.981798
-5.55,0.144492
-5.50707,-3.59049
-3.01863,-5.105700000000001
-2.6724300000000003,-6.8016
-4.74864,-7.3833
-3.9588,-9.9
-0.046799999999999994,-9.9
1.8798,-8.138100000000001
2.94,-7.5
5.69127,-7.4613000000000005
8.9205,-5.40408
9.629999999999999,-1.6120200000000002
9.629999999999999,2.268
8.7015,6.03021
5.65866,8.433
1.7025000000000001,8.76
-2.3325,8.76
